Boy Abunda
Vhong Navarro
Coco Martin
Enrique Gil
Piolo Pascual
Vice Ganda
Daniel Padilla
Gary Valenciano
Gerald Anderson
Xian Lim
James Reid
Michael Jackson
Michael Jordan
Billy Crawford
Bamboo Mañalac
Derek Ramsay
John Lloyd Cruz
Paulo Avelino
Enchong Dee
Robin Padilla
Richard Yap
Anne Curtis
Liza Soberano
Kathryn Bernardo
Bea Alonzo
Kim Chiu
Nadine Lustre
Maja Salvador
Yassi Pressman
Sarah Geronimo
Pia Wurtzbach
KC Concepcion
Julia Montes
Jasmine Curtis-Smith
Coleen García
Iza Calzado
Alex Gonzaga
Toni Gonzaga
Angel Locsin
Shaina Magdayao
Erich Gonzales
Jodi Santamaria
Rodrigo Duterte
Manny Pacquiao
Maria Leonor Robredo
Salvador Medialdea
Sonny Angara
Bam Aquino
Nancy Binay
JV Ejercito
Francis Escudero
Gregorio Honasan
Loren Legarda
Aquilino Pimentel III
Grace Poe
Antonio Trillanes
Cynthia Villar
Franklin Drilon
Joel Villanueva
Tito Sotto
Panfilo Lacson
Richard J. Gordon
Juan Miguel Zubiri
Francis Pangilinan
Risa Hontiveros
Win Gatchalian
Ralph Recto
Leila de Lima
